year,geo,noc,hours_worked
2009,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35
2010,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.8
2011,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.2
2012,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.3
2013,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.4
2014,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",34.8
2015,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.5
2016,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.4
2017,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.7
2018,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",36
2019,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",35.5
2020,Canada,"Distribution, tracking and scheduling co-ordination occupations [15]",36.2
1987,Canada,Natural and applied sciences and related occupations [2],38.9
1988,Canada,Natural and applied sciences and related occupations [2],39.8
1989,Canada,Natural and applied sciences and related occupations [2],40.1
1990,Canada,Natural and applied sciences and related occupations [2],40
1991,Canada,Natural and applied sciences and related occupations [2],39.5
1992,Canada,Natural and applied sciences and related occupations [2],38.7
1993,Canada,Natural and applied sciences and related occupations [2],39.2
1994,Canada,Natural and applied sciences and related occupations [2],40
1995,Canada,Natural and applied sciences and related occupations [2],39.6
1996,Canada,Natural and applied sciences and related occupations [2],40.1
1997,Canada,Natural and applied sciences and related occupations [2],40
1998,Canada,Natural and applied sciences and related occupations [2],39.7
1999,Canada,Natural and applied sciences and related occupations [2],39.8
2000,Canada,Natural and applied sciences and related occupations [2],40.2
2001,Canada,Natural and applied sciences and related occupations [2],39.3
2002,Canada,Natural and applied sciences and related occupations [2],39.2
2003,Canada,Natural and applied sciences and related occupations [2],38.3
2004,Canada,Natural and applied sciences and related occupations [2],38.6
2005,Canada,Natural and applied sciences and related occupations [2],39.2
2006,Canada,Natural and applied sciences and related occupations [2],38.8
2007,Canada,Natural and applied sciences and related occupations [2],39.3
2008,Canada,Natural and applied sciences and related occupations [2],38.8
2009,Canada,Natural and applied sciences and related occupations [2],37.9
2010,Canada,Natural and applied sciences and related occupations [2],38.1
2011,Canada,Natural and applied sciences and related occupations [2],38.6
2012,Canada,Natural and applied sciences and related occupations [2],38.8
2013,Canada,Natural and applied sciences and related occupations [2],38.4
2014,Canada,Natural and applied sciences and related occupations [2],37.8
2015,Canada,Natural and applied sciences and related occupations [2],38
2016,Canada,Natural and applied sciences and related occupations [2],38
2017,Canada,Natural and applied sciences and related occupations [2],37.7
2018,Canada,Natural and applied sciences and related occupations [2],38.3
2019,Canada,Natural and applied sciences and related occupations [2],37.5
2020,Canada,Natural and applied sciences and related occupations [2],37.7
1987,Canada,Professional occupations in natural and applied sciences [21],39.3
1988,Canada,Professional occupations in natural and applied sciences [21],40.6
1989,Canada,Professional occupations in natural and applied sciences [21],40.8
1990,Canada,Professional occupations in natural and applied sciences [21],40.7
1991,Canada,Professional occupations in natural and applied sciences [21],39.9
1992,Canada,Professional occupations in natural and applied sciences [21],39.2
1993,Canada,Professional occupations in natural and applied sciences [21],39.8
1994,Canada,Professional occupations in natural and applied sciences [21],40.7
1995,Canada,Professional occupations in natural and applied sciences [21],40.1
1996,Canada,Professional occupations in natural and applied sciences [21],40.9
1997,Canada,Professional occupations in natural and applied sciences [21],40.6
1998,Canada,Professional occupations in natural and applied sciences [21],40.1
1999,Canada,Professional occupations in natural and applied sciences [21],40.5
2000,Canada,Professional occupations in natural and applied sciences [21],40.6
2001,Canada,Professional occupations in natural and applied sciences [21],39.7
2002,Canada,Professional occupations in natural and applied sciences [21],39.6
2003,Canada,Professional occupations in natural and applied sciences [21],38.6
2004,Canada,Professional occupations in natural and applied sciences [21],39
2005,Canada,Professional occupations in natural and applied sciences [21],39.7
2006,Canada,Professional occupations in natural and applied sciences [21],39.2
2007,Canada,Professional occupations in natural and applied sciences [21],39.6
2008,Canada,Professional occupations in natural and applied sciences [21],39.3
2009,Canada,Professional occupations in natural and applied sciences [21],38
2010,Canada,Professional occupations in natural and applied sciences [21],38.3
2011,Canada,Professional occupations in natural and applied sciences [21],38.8
2012,Canada,Professional occupations in natural and applied sciences [21],39
2013,Canada,Professional occupations in natural and applied sciences [21],38.6
2014,Canada,Professional occupations in natural and applied sciences [21],37.8
2015,Canada,Professional occupations in natural and applied sciences [21],38
2016,Canada,Professional occupations in natural and applied sciences [21],38
2017,Canada,Professional occupations in natural and applied sciences [21],37.7
2018,Canada,Professional occupations in natural and applied sciences [21],38.3
2019,Canada,Professional occupations in natural and applied sciences [21],37.5
2020,Canada,Professional occupations in natural and applied sciences [21],37.8
1987,Canada,Technical occupations related to natural and applied sciences [22],38.6
1988,Canada,Technical occupations related to natural and applied sciences [22],39
1989,Canada,Technical occupations related to natural and applied sciences [22],39.3
1990,Canada,Technical occupations related to natural and applied sciences [22],39.4
1991,Canada,Technical occupations related to natural and applied sciences [22],38.9
1992,Canada,Technical occupations related to natural and applied sciences [22],38.2
1993,Canada,Technical occupations related to natural and applied sciences [22],38.5
1994,Canada,Technical occupations related to natural and applied sciences [22],39.2
1995,Canada,Technical occupations related to natural and applied sciences [22],38.9
1996,Canada,Technical occupations related to natural and applied sciences [22],39.1
1997,Canada,Technical occupations related to natural and applied sciences [22],39.3
1998,Canada,Technical occupations related to natural and applied sciences [22],39.1
1999,Canada,Technical occupations related to natural and applied sciences [22],39
2000,Canada,Technical occupations related to natural and applied sciences [22],39.7
2001,Canada,Technical occupations related to natural and applied sciences [22],38.9
2002,Canada,Technical occupations related to natural and applied sciences [22],38.7
2003,Canada,Technical occupations related to natural and applied sciences [22],38
2004,Canada,Technical occupations related to natural and applied sciences [22],38
2005,Canada,Technical occupations related to natural and applied sciences [22],38.7
2006,Canada,Technical occupations related to natural and applied sciences [22],38.4
2007,Canada,Technical occupations related to natural and applied sciences [22],38.8
2008,Canada,Technical occupations related to natural and applied sciences [22],38.2
2009,Canada,Technical occupations related to natural and applied sciences [22],37.7
2010,Canada,Technical occupations related to natural and applied sciences [22],37.8
2011,Canada,Technical occupations related to natural and applied sciences [22],38.2
2012,Canada,Technical occupations related to natural and applied sciences [22],38.6
2013,Canada,Technical occupations related to natural and applied sciences [22],38.1
